sectionname,starttime,endtime,duration,responsetime,delta,condition,response,accuracy
Stim2_101,373.63156509399414,374.2980799674988,0.6665148735046387,374.2980799674988,0.6665148735046387,right-con,right,1
Stim2_102,374.33142614364624,374.8314769268036,0.5000507831573486,,,,,
Stim2_103,374.86477303504944,375.4526569843292,0.5878839492797852,375.4526569843292,0.5878839492797852,right-con,right,1
Stim2_104,375.4860031604767,375.9981689453125,0.5121657848358154,,,,,
Stim2_105,376.03145694732666,376.68148708343506,0.6500301361083984,376.68148708343506,0.6500301361083984,right-neut,right,1
Stim2_106,376.714791059494,377.2149729728699,0.5001819133758545,,,,,
Stim2_107,377.24809312820435,377.8193061351776,0.5712130069732666,377.8193061351776,0.5712130069732666,right-con,right,1
Stim2_108,377.85266304016113,378.3648941516876,0.5122311115264893,,,,,
Stim2_109,378.3981330394745,379.0315670967102,0.6334340572357178,379.0315670967102,0.6334340572357178,right-neut,right,1
Stim2_110,379.06481313705444,379.5648491382599,0.5000360012054443,,,,,
Stim2_111,379.5982840061188,380.1649839878082,0.5666999816894531,380.1649839878082,0.5666999816894531,left-neut,left,1
Stim2_112,380.19820404052734,380.6982181072235,0.500014066696167,,,,,
Stim2_113,380.7316551208496,381.49834394454956,0.7666888236999512,381.49834394454956,0.7666888236999512,left-inc,left,1
Stim2_114,381.53155493736267,382.0359101295471,0.5043551921844482,,,,,
Stim2_115,382.0692341327667,382.6148760318756,0.5456418991088867,382.6148760318756,0.5456418991088867,left-neut,left,1
Stim2_116,382.6483459472656,383.164911031723,0.5165650844573975,,,,,
Stim2_117,383.1983880996704,383.8650779724121,0.6666898727416992,383.8650779724121,0.6666898727416992,left-inc,left,1
Stim2_118,383.89825105667114,384.4026429653168,0.5043919086456299,,,,,
Stim2_119,384.43593406677246,385.0317130088806,0.5957789421081543,385.0317130088806,0.5957789421081543,right-con,right,1
Stim2_120,385.0649390220642,385.56495809555054,0.5000190734863281,,,,,
Stim2_121,385.59839701652527,386.41962003707886,0.8212230205535889,386.41962003707886,0.8212230205535889,right-inc,right,1
Stim2_122,386.4529571533203,386.9649569988251,0.5119998455047607,,,,,
Stim2_123,386.99842405319214,387.63161993026733,0.6331958770751953,387.63161993026733,0.6331958770751953,right-con,right,1
Stim2_124,387.6649830341339,388.16498708724976,0.5000040531158447,,,,,
Stim2_125,388.1984760761261,389.0025420188904,0.8040659427642822,389.0025420188904,0.8040659427642822,right-inc,right,1
Stim2_126,389.03164196014404,389.531662940979,0.5000209808349609,,,,,
Stim2_127,389.56512904167175,390.2317979335785,0.6666688919067383,390.2317979335785,0.6666688919067383,right-inc,right,1
Stim2_128,390.26498007774353,390.7651469707489,0.5001668930053711,,,,,
Stim2_129,390.7982671260834,391.53164315223694,0.7333760261535645,391.53164315223694,0.7333760261535645,left-con,left,1
Stim2_130,391.56500697135925,392.06504797935486,0.5000410079956055,,,,,
Stim2_131,392.0984539985657,392.71501898765564,0.6165649890899658,392.71501898765564,0.6165649890899658,left-neut,left,1
Stim2_132,392.7483570575714,393.25283002853394,0.5044729709625244,,,,,
Stim2_133,393.28604006767273,393.86507415771484,0.5790340900421143,393.86507415771484,0.5790340900421143,right-neut,right,1
Stim2_134,393.8983790874481,394.39854311943054,0.5001640319824219,,,,,
Stim2_135,394.43168902397156,394.9983940124512,0.5667049884796143,394.9983940124512,0.5667049884796143,right-neut,right,1
Stim2_136,395.0317471027374,395.5361111164093,0.504364013671875,,,,,
Stim2_137,395.569589138031,396.0483901500702,0.47880101203918457,396.0483901500702,0.47880101203918457,left-neut,left,1
Stim2_138,396.08172607421875,396.58177304267883,0.500046968460083,,,,,
